Year,Weekday # Paper,Weekday % Paper,Weekday # Plastic,Weekday % Plastic,Weekday Total,Weekend # Paper,Weekend % Paper,Weekend # Plastic,Weekend % Plastic,Weekend Total
2019,35010,0.7812864895744073,15596,0.7101808155937419,50606,18158,0.7936055733010243,6977,0.6971807367063207,25135
2020,43552,0.8729890705363703,18638,0.8388614658225132,62190,21679,0.882588219013792,8935,0.9147655288192502,30614
2021,11807,0.8990158380621666,4907,0.8673975952720603,16714,6282,0.9148901623686724,2617,0.8548949178448606,8899
